Provincia,Pfisica,Pjuridica,TasaPfisica,TasaPJuridica
DISTRITO NACIONAL,31342841525,12888944575,5.526172685,8.541002386
SANTO DOMINGO,14884394454,572306090.6,3.881480277,6.221262608
SAMANA,6107516.78,,1.125443321,
SANCHEZ RAMIREZ,235094549.1,9861004.32,4.708372428,7.110752799
MONTE CRISTI,174755889.3,1508060.31,3.648882294,1.247459657
VALVERDE,1399519120,3914917.92,3.878086377,1.228061996
HERMANAS MIRABAL,1020086915,6028667.76,3.610047116,2.8592329
SANTIAGO,23113018179,1402650436,4.773682028,7.684850997
MONSE¥OR NOUEL,1363825904,188401943.7,3.694835887,6.210584579
DUARTE,3142765649,118012308,4.359675865,7.056349342
PUERTO PLATA,1345107285,60693985.3,3.64757035,3.225486904
SANTIAGO RODRIGUEZ,136700266.7,14306370.28,3.583239923,6.088992434
DAJABON,50490834.08,183793.2,3.310402532,1.223578538
MARIA TRINIDAD SANCHEZ,126340889.4,157382.79,2.382882712,0.500001525
ESPAILLAT,2421098211,100179035.4,4.901036806,1.788885563
LA VEGA,5088527308,1114969839,4.783403093,8.310613935
MONTE PLATA,30796483.08,,0.993774854,
EL SEIBO,145573082.9,6179826.51,1.816129378,0.874555236
LA ROMANA,1584617749,395119469.7,5.491999611,8.303736494
HATO MAYOR,229902677.5,141714.51,2.016699319,2.640186817
SAN PEDRO DE MACORIS,329365239.1,57142721.04,2.713792299,2.571763681
LA ALTAGRACIA,920893501.3,9286173.56,3.857843141,2.760134245
PERAVIA,1472353065,144128548.3,4.722339916,7.34542653
SAN CRISTOBAL,2653345321,54531480.57,3.729198699,7.275217103
SAN JOSE DE OCOA,183893712.1,640564.71,2.542843674,0.9998092
INDEPENDENCIA,5656724.7,,0.671340343,
BAHORUCO,3854923.55,2063.79,0.858405482,1
AZUA,229531561,841925.6,2.490899629,0.041955691
ELIAS PI¥A,6442316.12,30225.88,2.076185096,1
PEDERNALES,6268884.6,29417.14,0.985526889,1.25
SAN JUAN,905503126.1,13000232.96,5.854052488,5.49850409
BARAHONA,9639777.7,153401.05,3.895347249,0.565009056
